"id","displayName","brand","merchant","category","price","asin","imageUrl","imageUrlHostname","imageUrlMatchesMerchantDomain","purchaseUrl","resolvedUrl","hasPurchaseUrl","validUrl","hostname","merchantMatchesDomain","affiliateRuleConfigured","affiliateMarkerPresent","placeholderAffiliateTag","duplicateRawUrl","suspiciousUrl","runtimeAffiliateMarkerPresent","imageUrlPresent","active","swipeEligible","imageApproved","isCurated","duplicateTitleFields","duplicateTitleFieldValuesDiffer","titleFieldsPresent","suspiciousBrandValue","status","launchStatus","manualReady","notes","launchNotes","manualOpened","manualPageLoads","manualRightProduct","manualRightRetailer","manualNo404","manualNoWeirdRedirect","manualMobileIssue","manualFixNeeded","manualNotes"
"1Ugc7BgT2nM8O83ADMiR","Cozy Bench","SwipeShop Studio","Amazon","storage","155.99","B084SN2GD7","https://picsum.photos/seed/seating_193/600/600","picsum.photos","no","https://www.amazon.ca/dp/B084SN2GD7/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B084SN2GD7/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"1XUoQVMrPBrQkhbqgm3u","Bold Table Lamp","SwipeShop Studio","Amazon","lighting","64.99","B0DHL46YF2","https://picsum.photos/seed/lighting_46/600/600","picsum.photos","no","https://www.amazon.ca/dp/B0DHL46YF2/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0DHL46YF2/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"25rsjAVfziaNsnTEJiWl","Minimal Round Mirror","SwipeShop Studio","Amazon","mirrors","62.99","B0DGXDWNG4","https://picsum.photos/seed/mirrors_132/600/600","picsum.photos","no","https://www.amazon.ca/dp/B0DGXDWNG4/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0DGXDWNG4/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"2bllusfsCmNnvXQuBd2U","Minimal Runner Rug","SwipeShop Studio","Amazon","storage","103.99","B0D9P5N6BJ","https://picsum.photos/seed/rugs_39/600/600","picsum.photos","no","https://www.amazon.ca/dp/B0D9P5N6BJ/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0D9P5N6BJ/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"2gXrsxN5L1f6r2nWma5T","Soft Serving Tray","SwipeShop Studio","Amazon","storage","31.99","B0D63B75M9","https://picsum.photos/seed/kitchen_decor_115/600/600","picsum.photos","no","https://www.amazon.ca/dp/B0D63B75M9/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0D63B75M9/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"2l2YxTiWCalduZnXhryV","Modern Stool","SwipeShop Studio","Amazon","storage","173.99","B08RYRYTLB","https://picsum.photos/seed/seating_139/600/600","picsum.photos","no","https://www.amazon.ca/dp/B08RYRYTLB/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B08RYRYTLB/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"2rt88QgqOQfvU8FfH5tr","Modern Area Rug","SwipeShop Studio","Amazon","storage","94.99","B0F3Y4NLSL","https://picsum.photos/seed/rugs_66/600/600","picsum.photos","no","https://www.amazon.ca/dp/B0F3Y4NLSL/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0F3Y4NLSL/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"3CI067BHtUQfr5Gl8nX9","Minimal Side Table","SwipeShop Studio","Amazon","storage","153.99","B0DDPY7Y8D","https://picsum.photos/seed/tables_79/600/600","picsum.photos","no","https://www.amazon.ca/dp/B0DDPY7Y8D/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0DDPY7Y8D/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"3IvvkM1cjwWKvWe2xqWz","Modern Area Rug","SwipeShop Studio","Amazon","storage","106.99","B0DFQBDTH1","https://picsum.photos/seed/rugs_100/600/600","picsum.photos","no","https://www.amazon.ca/dp/B0DFQBDTH1/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0DFQBDTH1/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"3MACvF4c8REBDFb1aYjw","Modern Indoor Plant","SwipeShop Studio","Amazon","plants","30.99","B0CBYLJSGG","https://picsum.photos/seed/plants_173/600/600","picsum.photos","no","https://www.amazon.ca/dp/B0CBYLJSGG/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0CBYLJSGG/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"3TIxQTdGFSBb7x9Z7g5e","Wood Side Table","SwipeShop Studio","Amazon","storage","69.99","B0CC2B8DYK","https://picsum.photos/seed/tables_02/600/600","picsum.photos","no","https://www.amazon.ca/dp/B0CC2B8DYK/ref=nosim?tag=YOURREALTAG-20","https://www.amazon.ca/dp/B0CC2B8DYK/ref=nosim","yes","yes","www.amazon.ca","yes","yes","yes","yes","no","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","Affiliate tag looks like placeholder: YOURREALTAG-20; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"3XXA6Rx0r7qULUk3xLFK","Vintage Pattern Rug","SwipeShop Studio","Amazon","storage","109.99","","https://picsum.photos/seed/rugs_02/600/600","picsum.photos","no","https://www.amazon.ca/s?k=Vintage%20Pattern%20Rug%20SwipeShop%20Studio%20Rugs","https://www.amazon.ca/s?k=Vintage%20Pattern%20Rug%20SwipeShop%20Studio%20Rugs","yes","yes","www.amazon.ca","yes","yes","no","no","yes","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","No visible affiliate marker in purchaseUrl (tag=); duplicate raw purchaseUrl used by multiple products; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"3i91qW7P7YyclDNkMvez","Minimal Storage Basket","SwipeShop Studio","Amazon","storage","41.99","","https://picsum.photos/seed/storage_125/600/600","picsum.photos","no","https://www.amazon.ca/s?k=Minimal%20Storage%20Basket%20SwipeShop%20Studio%20storage","https://www.amazon.ca/s?k=Minimal%20Storage%20Basket%20SwipeShop%20Studio%20storage","yes","yes","www.amazon.ca","yes","yes","no","no","yes","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","No visible affiliate marker in purchaseUrl (tag=); duplicate raw purchaseUrl used by multiple products; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"3jCrenVGzmN4a4gdgSOF","Cozy Organizer","SwipeShop Studio","Amazon","storage","53.99","","https://picsum.photos/seed/storage_149/600/600","picsum.photos","no","https://www.amazon.ca/s?k=Cozy%20Organizer%20SwipeShop%20Studio%20storage","https://www.amazon.ca/s?k=Cozy%20Organizer%20SwipeShop%20Studio%20storage","yes","yes","www.amazon.ca","yes","yes","no","no","yes","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","No visible affiliate marker in purchaseUrl (tag=); duplicate raw purchaseUrl used by multiple products; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"3kJktPZUIZ9zxjLfwYqP","Modern Area Rug","SwipeShop Studio","Amazon","storage","85.99","","https://picsum.photos/seed/rugs_183/600/600","picsum.photos","no","https://www.amazon.ca/s?k=Modern%20Area%20Rug%20SwipeShop%20Studio%20rugs","https://www.amazon.ca/s?k=Modern%20Area%20Rug%20SwipeShop%20Studio%20rugs","yes","yes","www.amazon.ca","yes","yes","no","no","yes","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","No visible affiliate marker in purchaseUrl (tag=); duplicate raw purchaseUrl used by multiple products; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"3qgBcY9VFMj8K5yccaic","Modern Wool Rug","SwipeShop Studio","Amazon","storage","97.99","","https://picsum.photos/seed/rugs_197/600/600","picsum.photos","no","https://www.amazon.ca/s?k=Modern%20Wool%20Rug%20SwipeShop%20Studio%20rugs","https://www.amazon.ca/s?k=Modern%20Wool%20Rug%20SwipeShop%20Studio%20rugs","yes","yes","www.amazon.ca","yes","yes","no","no","yes","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","No visible affiliate marker in purchaseUrl (tag=); duplicate raw purchaseUrl used by multiple products; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"3wW1gb9Z9Uu8AzHrBNpk","Neutral Side Table","SwipeShop Studio","Amazon","storage","156.99","","https://picsum.photos/seed/tables_200/600/600","picsum.photos","no","https://www.amazon.ca/s?k=Neutral%20Side%20Table%20SwipeShop%20Studio%20tables","https://www.amazon.ca/s?k=Neutral%20Side%20Table%20SwipeShop%20Studio%20tables","yes","yes","www.amazon.ca","yes","yes","no","no","yes","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","No visible affiliate marker in purchaseUrl (tag=); duplicate raw purchaseUrl used by multiple products; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"3zkE7QBUmNiBcCuK2jqS","Neutral Sheet Set","SwipeShop Studio","Amazon","cozy-bedroom","87.99","","https://picsum.photos/seed/bedding_27/600/600","picsum.photos","no","https://www.amazon.ca/s?k=Neutral%20Sheet%20Set%20SwipeShop%20Studio%20bedding","https://www.amazon.ca/s?k=Neutral%20Sheet%20Set%20SwipeShop%20Studio%20bedding","yes","yes","www.amazon.ca","yes","yes","no","no","yes","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","No visible affiliate marker in purchaseUrl (tag=); duplicate raw purchaseUrl used by multiple products; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"412yQa2CNdSB3vhDwEeQ","Soft Bench","SwipeShop Studio","Amazon","storage","173.99","","https://picsum.photos/seed/seating_19/600/600","picsum.photos","no","https://www.amazon.ca/s?k=Soft%20Bench%20SwipeShop%20Studio%20seating","https://www.amazon.ca/s?k=Soft%20Bench%20SwipeShop%20Studio%20seating","yes","yes","www.amazon.ca","yes","yes","no","no","yes","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","No visible affiliate marker in purchaseUrl (tag=); duplicate raw purchaseUrl used by multiple products; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
"45Rpj421wRUEt3uUj3X1","Classic Wall Poster","SwipeShop Studio","Amazon","wall-decor","60.99","","https://picsum.photos/seed/wall_art_58/600/600","picsum.photos","no","https://www.amazon.ca/s?k=Classic%20Wall%20Poster%20SwipeShop%20Studio%20wall_art","https://www.amazon.ca/s?k=Classic%20Wall%20Poster%20SwipeShop%20Studio%20wall_art","yes","yes","www.amazon.ca","yes","yes","no","no","yes","no","no","yes","yes","no","no","no","yes","no","displayName; name; title","yes","review","fail","no","No visible affiliate marker in purchaseUrl (tag=); duplicate raw purchaseUrl used by multiple products; imageUrl domain differs from merchant domain: picsum.photos; Not swipe eligible; imageApproved is false; isCurated is false; duplicate title/displayName/name fields: displayName, name, title; brand may need verification: SwipeShop Studio","runtime resolved URL is missing affiliate marker because AMAZON_ASSOC_TAG/VITE_AMAZON_ASSOC_TAG is not set","","","","","","","","",""
