id,displayTitle,merchant,brand,category,asin,price,purchaseUrl,imageUrl,hasPurchaseUrl,validPurchaseUrl,purchaseHostname,merchantMatchesPurchaseDomain,hasAsin,asinPresentInPurchaseUrl,affiliateTagPresent,affiliateTagValue,affiliateTagLooksPlaceholder,hasImageUrl,validImageUrl,imageHostname,imageDomainMatchesMerchant,imageApproved,isCurated,active,swipeEligible,titleFieldsConsistent,suspiciousBrandValue,status,notes
amazon_B0BZTT3MKR,EDISHINE Tripod Table Lamp,Amazon.ca,EDISHINE,lighting,B0BZTT3MKR,36.99,https://www.amazon.ca/dp/B0BZTT3MKR?tag=seligo-live-20,https://m.media-amazon.com/images/I/81hd5Sql6fL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0G8TGGTWG,Erosebridal Abstract Modern Black Beige Canvas Wall Art Set of 3,Amazon.ca,Erosebridal,wall-decor,B0G8TGGTWG,40.79,https://www.amazon.ca/dp/B0G8TGGTWG?tag=seligo-live-20,https://m.media-amazon.com/images/I/61m0uTyE0TL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0FNN2B414,ESUNYD Candle Warmer Lamp with Timer,Amazon.ca,ESUNYD,lighting,B0FNN2B414,26.99,https://www.amazon.ca/dp/B0FNN2B414?tag=seligo-live-20,https://m.media-amazon.com/images/I/81bKlnL7QSL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0D93DQZQD,Hbluefat 2-Tier Desktop Organizer Shelf,Amazon.ca,Hbluefat,desk-setup,B0D93DQZQD,36.8,https://www.amazon.ca/dp/B0D93DQZQD?tag=seligo-live-20,https://m.media-amazon.com/images/I/61ObneF52kL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B09S8W8HK8,Hbnlai 3-Bulb Propagation Station,Amazon.ca,Hbnlai,shelf-styling,B09S8W8HK8,19.99,https://www.amazon.ca/dp/B09S8W8HK8?tag=seligo-live-20,https://m.media-amazon.com/images/I/71SX40wpnqL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0D5HWK1XD,HERCHR Bedside Table Lamp,Amazon.ca,HERCHR,lighting,B0D5HWK1XD,22.39,https://www.amazon.ca/dp/B0D5HWK1XD?tag=seligo-live-20,https://m.media-amazon.com/images/I/81XtYh4k8ML._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0CSXLCL45,Home & Honor Mountain Canvas Wall Art Set,Amazon.ca,Home & Honor,wall-decor,B0CSXLCL45,29.84,https://www.amazon.ca/dp/B0CSXLCL45?tag=seligo-live-20,https://m.media-amazon.com/images/I/61BoEqZS6SL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0DFD4XCPB,HOMKOKO Small Storage Box with Handles,Amazon.ca,HOMKOKO,storage,B0DFD4XCPB,21.49,https://www.amazon.ca/dp/B0DFD4XCPB?tag=seligo-live-20,https://m.media-amazon.com/images/I/71R1HYMJv1L._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0DDC6WXLN,Jukercici Collapsible Storage Baskets 2-Pack,Amazon.ca,Jukercici,storage,B0DDC6WXLN,36.99,https://www.amazon.ca/dp/B0DDC6WXLN?tag=seligo-live-20,https://m.media-amazon.com/images/I/616vB++L0KL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0C5M5HHQT,Lewondr Corduroy Throw Pillow Covers Set of 4,Amazon.ca,Lewondr,cozy-bedroom,B0C5M5HHQT,24.99,https://www.amazon.ca/dp/B0C5M5HHQT?tag=seligo-live-20,https://m.media-amazon.com/images/I/81O-cg2L6uL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B08CMJNDRY,LONGWIN Hanging Gold Circle Mirror,Amazon.ca,LONGWIN,mirrors,B08CMJNDRY,32.99,https://www.amazon.ca/dp/B08CMJNDRY?tag=seligo-live-20,https://m.media-amazon.com/images/I/51kEt8mw4GL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0C9MJ749Q,LUSHARBOR Battery Powered Table Lamp with Timer,Amazon.ca,LUSHARBOR,lighting,B0C9MJ749Q,29.99,https://www.amazon.ca/dp/B0C9MJ749Q?tag=seligo-live-20,https://m.media-amazon.com/images/I/81-JPsbZGdL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B07X9JQQZ1,MADIZZ Velvet Throw Pillow Covers Set of 2,Amazon.ca,MADIZZ,cozy-bedroom,B07X9JQQZ1,24.99,https://www.amazon.ca/dp/B07X9JQQZ1?tag=seligo-live-20,https://m.media-amazon.com/images/I/81u4zQegrIS._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0FDG5C999,MEKOTRIN Cordless Glass Bedside Table Lamp,Amazon.ca,MEKOTRIN,lighting,B0FDG5C999,35.99,https://www.amazon.ca/dp/B0FDG5C999?tag=seligo-live-20,https://m.media-amazon.com/images/I/81xBdMs7yJL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0F3J3R5J2,MODOJOART Framed Neutral Abstract Canvas Wall Art Set,Amazon.ca,MODOJOART,wall-decor,B0F3J3R5J2,39.91,https://www.amazon.ca/dp/B0F3J3R5J2?tag=seligo-live-20,https://m.media-amazon.com/images/I/71SVY7S9DgL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B09183JKQ5,Neutral Farmhouse Pillow Covers Set of 4,Amazon.ca,homefeelzydys,cozy-bedroom,B09183JKQ5,16.99,https://www.amazon.ca/dp/B09183JKQ5?tag=seligo-live-20,https://m.media-amazon.com/images/I/71QsVXg8LeL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0BW14CKJ3,OrganiHaus Fabric Storage Bins 3-Pack,Amazon.ca,OrganiHaus,storage,B0BW14CKJ3,34.99,https://www.amazon.ca/dp/B0BW14CKJ3?tag=seligo-live-20,https://m.media-amazon.com/images/I/919mPWgGkXL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0BWXXJZ32,PowerKing 2-Tier Desk Shelf Organizer,Amazon.ca,PowerKing,desk-setup,B0BWXXJZ32,29.99,https://www.amazon.ca/dp/B0BWXXJZ32?tag=seligo-live-20,https://m.media-amazon.com/images/I/71Bqknw0PQL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0CB7F7G6L,PowerKing White Wood Desk Shelf Organizer,Amazon.ca,PowerKing,desk-setup,B0CB7F7G6L,25.99,https://www.amazon.ca/dp/B0CB7F7G6L?tag=seligo-live-20,https://m.media-amazon.com/images/I/7193--rlu7L._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0BXCSW7YV,Quzenu Black and White Boho Wall Art Set,Amazon.ca,Quzenu,wall-decor,B0BXCSW7YV,24.73,https://www.amazon.ca/dp/B0BXCSW7YV?tag=seligo-live-20,https://m.media-amazon.com/images/I/71Ac2Y1ypoL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0F5HNF9DN,SEENSINY Rechargeable Cordless Touch Bedside Lamp,Amazon.ca,SEENSINY,lighting,B0F5HNF9DN,25.99,https://www.amazon.ca/dp/B0F5HNF9DN?tag=seligo-live-20,https://m.media-amazon.com/images/I/71919A3IEAL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0C27CF35D,StorageWorks Fabric Storage Bins 2-Pack,Amazon.ca,StorageWorks,storage,B0C27CF35D,27.35,https://www.amazon.ca/dp/B0C27CF35D?tag=seligo-live-20,https://m.media-amazon.com/images/I/61HKdN5slmL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B09J1FKQL4,Tyawon Glass Flameless LED Candles Pack of 3,Amazon.ca,Tyawon,cozy-bedroom,B09J1FKQL4,29.69,https://www.amazon.ca/dp/B09J1FKQL4?tag=seligo-live-20,https://m.media-amazon.com/images/I/717cR+ilcQL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
amazon_B0DNLXG9NB,YCHMIR Small Round Wall Mirror,Amazon.ca,YCHMIR,mirrors,B0DNLXG9NB,21.99,https://www.amazon.ca/dp/B0DNLXG9NB?tag=seligo-live-20,https://m.media-amazon.com/images/I/619vK9xd3NL._AC_SX679_.jpg,true,true,www.amazon.ca,true,true,true,true,seligo-live-20,false,true,true,m.media-amazon.com,true,true,true,true,true,true,false,ok,
